,fname,lname,nname,height,weight,reach,stance,win,lose,draw
660,Rashad,Coulter,Daywalker,"5' 11""",205 lbs.,"76.0""",Orthodox,9,4,0
661,Dave,Courchaine,,"5' 8""",170 lbs.,--,,20,7,0
662,Randy,Couture,The Natural,"6' 1""",205 lbs.,"75.0""",Orthodox,19,11,0
663,Kim,Couture,Sugar Free,"5' 8""",135 lbs.,--,Orthodox,3,8,0
664,Ryan,Couture,,"5' 10""",155 lbs.,"73.0""",Orthodox,11,5,0
665,Nikk,Covert,The Brick,"5' 8""",185 lbs.,--,,3,4,0
666,Colby,Covington,Chaos,"5' 11""",170 lbs.,"72.0""",Orthodox,16,2,0
667,Jeff,Cox,The Grinder,"5' 10""",155 lbs.,--,Orthodox,10,7,0
668,Nathan,Coy,Soulforce,"5' 10""",170 lbs.,"69.0""",Southpaw,15,7,0
669,Andrew,Craig,Highlight,"6' 1""",170 lbs.,"76.0""",Orthodox,9,4,0
670,Paul,Craig,Bearjew,"6' 3""",205 lbs.,"76.0""",Orthodox,15,4,1
671,Dan,Cramer,,"6' 2""",170 lbs.,--,Orthodox,11,4,0
672,Alberto,Crane,,"5' 5""",155 lbs.,--,Orthodox,15,5,0
673,Tim,Credeur,,"6' 3""",185 lbs.,"75.0""",Orthodox,12,4,0
674,Paul,Creighton,,"5' 6""",155 lbs.,--,Southpaw,3,1,0
675,Alexander,Crispim,,--,145 lbs.,--,,8,6,0
676,Alex,Crispin,,--,155 lbs.,--,,0,1,0
677,Kevin,Croom,Crash,"5' 11""",155 lbs.,"73.0""",Orthodox,21,13,0
678,Ken,Cross,The Boss,"6' 0""",155 lbs.,"72.0""",Southpaw,11,3,0
679,Jeff,Crotty,,--,155 lbs.,--,,1,1,0
680,Allen,Crowder,Pretty Boy,"6' 3""",245 lbs.,"76.0""",Orthodox,10,4,0
681,Daron,Cruickshank,Detroit Superstar,"5' 8""",155 lbs.,"72.0""",Switch,18,10,0
682,Richard,Crunkilton,Cleat,"5' 7""",155 lbs.,--,Orthodox,19,4,0
683,Jimmy,Crute,,"6' 2""",205 lbs.,"74.0""",Orthodox,12,2,0
684,Marcio,Cruz,Pe de Pano,"6' 4""",232 lbs.,--,Orthodox,8,3,0
685,Dominick,Cruz,The Dominator,"5' 8""",135 lbs.,"68.0""",Orthodox,23,3,0
686,Aalon,Cruz,,"6' 0""",145 lbs.,"78.0""",Switch,8,4,0
