,name,nname,win,lose,draw,nc,height,weight,reach,stance,dob,SLpM,Str_Acc,SApM,Str_Def,TD_Avg,TD_Acc,TD_Def,Sub_Avg
24584,Ricky Legere Jr.,IE Bad Boy,14,4,0,0,"5'8""",170lbs,0,,--,1.07,0.41000000000000003,1.53,0.6000000000000001,5.0,0.41000000000000003,0.0,0.0
24598,JeongYeong Lee,Korean Tiger,8,1,0,0,"5'10""",145lbs,73,Orthodox,"Nov13,1995",15.0,0.75,3.33,0.5,0.0,0.0,0.5,25.0
24612,Rocky Lee,,3,2,0,0,"5'9""",145lbs,0,Orthodox,"Apr08,1987",2.47,0.51,5.33,0.44,1.0,0.1,0.33,0.0
24626,Andrea Lee,KGB,13,6,0,0,"5'6""",125lbs,69,Orthodox,"Feb11,1989",5.43,0.49,3.64,0.64,1.6800000000000002,0.5,0.56,0.7000000000000001
24640,Kevin Lee,The Motown Phenom,18,7,0,0,"5'9""",170lbs,77,Orthodox,"Sep04,1992",3.89,0.42,3.56,0.5,3.19,0.43,0.75,0.8
24654,Vaughan Lee,,14,13,1,0,"5'6""",125lbs,66,Orthodox,"Oct15,1982",3.47,0.47000000000000003,2.07,0.7000000000000001,0.81,0.33,0.72,1.0
24668,Imani Lee,,2,4,0,0,--,--,0,Orthodox,--,0.0,0.0,0.9400000000000001,0.33,0.0,0.0,0.0,0.0
24682,Matt Lee,,14,10,1,0,"5'11""",155lbs,0,Orthodox,--,0.0,0.0,9.68,0.21,0.0,0.0,0.0,0.0
24696,Tommy Lee,,25,6,0,1,"5'7""",145lbs,0,Orthodox,"Jan20,1977",0.0,0.0,0.30000000000000004,0.75,4.57,0.33,0.0,0.0
24710,Tae Hyun Lee,,1,2,0,0,"6'6""",295lbs,0,Orthodox,"Jan17,1975",1.37,0.31,3.89,0.54,5.15,1.0,0.0,0.0
24724,Eun Soo Lee,,17,4,0,1,"6'1""",215lbs,0,Orthodox,"Mar07,1982",0.0,0.0,3.05,0.6000000000000001,0.0,0.0,0.5,0.0
24738,David Lee,,12,10,0,0,"5'10""",155lbs,0,Orthodox,--,1.49,0.5,3.31,0.42,0.0,0.0,0.5,0.0
24752,Jackie Lee,,0,1,0,0,--,--,0,,--,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24766,James Lee,,15,3,0,1,"5'11""",205lbs,0,Southpaw,"Sep22,1973",1.4,0.42,3.7199999999999998,0.27,13.95,0.5,0.0,7.0
24780,Katsuaki Furuki,,1,1,0,0,"6'0""",168lbs,0,,"Nov10,1980",0.27,0.1,2.67,0.39,0.0,0.0,0.0,3.0
24794,Justin Ledet,El Blanco,9,4,0,1,"6'4""",205lbs,80,Orthodox,"Sep28,1988",3.35,0.39,4.82,0.49,0.23,0.5,0.42,0.2
24808,Stephen Ledbetter,,8,3,0,0,"5'9""",145lbs,0,Orthodox,"Jun30,1982",1.2,0.38,1.6,0.5700000000000001,5.0,0.45,1.0,0.0
24822,Ricardo Funch,Golden Boy,9,6,0,0,"5'10""",170lbs,74,Southpaw,"Aug14,1980",2.61,0.65,3.5700000000000003,0.4,1.24,0.18,0.6000000000000001,0.0
24836,Masakatsu Funaki,,39,13,2,0,"6'0""",185lbs,0,Southpaw,"Mar13,1969",1.82,0.68,2.92,0.35000000000000003,0.0,0.0,0.0,5.5
24850,Sam Fulton,,0,2,0,0,--,--,0,,--,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24864,Travis Fulton,The Ironman,253,53,10,1,"6'0""",240lbs,0,Orthodox,"May29,1977",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24878,Riki Fukuda,,24,9,0,1,"6'0""",185lbs,73,Southpaw,"Jan06,1981",4.24,0.43,3.71,0.64,2.17,0.43,0.7000000000000001,0.0
24892,Masio Fullen,Lobo,11,7,0,0,"5'10""",145lbs,70,Orthodox,"Oct06,1986",2.46,0.32,3.5,0.54,0.47000000000000003,0.33,0.6900000000000001,0.0
24906,Keisuke Fujiwara,,17,12,5,0,"5'6""",139lbs,0,Switch,--,0.73,0.44,1.2,0.47000000000000003,0.0,0.0,0.23,2.5
24920,Megumi Fujii,Mega Megu,26,3,0,0,"5'3""",113lbs,0,,"Apr26,1974",2.4,0.42,0.0,1.0,0.0,0.0,0.0,12.0
